name_cn,name_en,level,type,parent_province_cn,is_provincial_capital,is_sub_provincial,notes,covered,our_docs,our_site_keys
衡水市,Hengshui,prefecture,prefecture_city,河北省,,,,,0,
太原市,Taiyuan,prefecture,prefecture_city,山西省,Y,,省会,,0,
大同市,Datong,prefecture,prefecture_city,山西省,,,,,0,
阳泉市,Yangquan,prefecture,prefecture_city,山西省,,,,,0,
长治市,Changzhi,prefecture,prefecture_city,山西省,,,,Y,62,changzhi
晋城市,Jincheng,prefecture,prefecture_city,山西省,,,,Y,182,jcgov
朔州市,Shuozhou,prefecture,prefecture_city,山西省,,,,Y,113,shuozhou;shuozhou_c2
晋中市,Jinzhong,prefecture,prefecture_city,山西省,,,,,0,
运城市,Yuncheng,prefecture,prefecture_city,山西省,,,,,0,
忻州市,Xinzhou,prefecture,prefecture_city,山西省,,,,,0,
临汾市,Linfen,prefecture,prefecture_city,山西省,,,,,0,
吕梁市,Lliang,prefecture,prefecture_city,山西省,,,romanization: Lyliang/Lyuliang,Y,105,lvliang
沈阳市,Shenyang,prefecture,prefecture_city,辽宁省,Y,Y,省会,Y,174,shenyang
大连市,Dalian,prefecture,prefecture_city,辽宁省,,Y,计划单列市,,0,
鞍山市,Anshan,prefecture,prefecture_city,辽宁省,,,,,0,
抚顺市,Fushun,prefecture,prefecture_city,辽宁省,,,,Y,1,fushun
本溪市,Benxi,prefecture,prefecture_city,辽宁省,,,,,0,
丹东市,Dandong,prefecture,prefecture_city,辽宁省,,,,Y,118,dandong
锦州市,Jinzhou,prefecture,prefecture_city,辽宁省,,,,,0,
营口市,Yingkou,prefecture,prefecture_city,辽宁省,,,,Y,2,yingkou
阜新市,Fuxin,prefecture,prefecture_city,辽宁省,,,,Y,22,fuxin
辽阳市,Liaoyang,prefecture,prefecture_city,辽宁省,,,,,0,
盘锦市,Panjin,prefecture,prefecture_city,辽宁省,,,,,0,panjin
铁岭市,Tieling,prefecture,prefecture_city,辽宁省,,,,,0,
朝阳市,Chaoyang,prefecture,prefecture_city,辽宁省,,,,Y,282,chaoyang
葫芦岛市,Huludao,prefecture,prefecture_city,辽宁省,,,,,0,
长春市,Changchun,prefecture,prefecture_city,吉林省,Y,Y,省会,Y,32,changchun
吉林市,Jilin,prefecture,prefecture_city,吉林省,,,,Y,684,jilin;jl_czt;jl_gxt;jl_hrss;jl_jldrc;jl_jyt;jl_kjt;jl_sthjt;jl_swt;jl_zrzy
四平市,Siping,prefecture,prefecture_city,吉林省,,,,,0,siping
辽源市,Liaoyuan,prefecture,prefecture_city,吉林省,,,,Y,119,liaoyuan
通化市,Tonghua,prefecture,prefecture_city,吉林省,,,,Y,49,tonghua
白山市,Baishan,prefecture,prefecture_city,吉林省,,,,,0,
松原市,Songyuan,prefecture,prefecture_city,吉林省,,,,,0,
白城市,Baicheng,prefecture,prefecture_city,吉林省,,,,,0,
延边朝鲜族自治州,Yanbian,prefecture,autonomous_prefecture,吉林省,,,,Y,25,yanbian
哈尔滨市,Harbin,prefecture,prefecture_city,黑龙江省,Y,Y,省会,,0,
齐齐哈尔市,Qiqihar,prefecture,prefecture_city,黑龙江省,,,,,0,
鸡西市,Jixi,prefecture,prefecture_city,黑龙江省,,,,Y,21,jixi
鹤岗市,Hegang,prefecture,prefecture_city,黑龙江省,,,,Y,3,hegang
双鸭山市,Shuangyashan,prefecture,prefecture_city,黑龙江省,,,,,0,shuangyashan
大庆市,Daqing,prefecture,prefecture_city,黑龙江省,,,,,0,
伊春市,Yichun,prefecture,prefecture_city,黑龙江省,,,,Y,98,yc
佳木斯市,Jiamusi,prefecture,prefecture_city,黑龙江省,,,,,0,
七台河市,Qitaihe,prefecture,prefecture_city,黑龙江省,,,,,0,
牡丹江市,Mudanjiang,prefecture,prefecture_city,黑龙江省,,,,,0,
黑河市,Heihe,prefecture,prefecture_city,黑龙江省,,,,Y,36,heihe
绥化市,Suihua,prefecture,prefecture_city,黑龙江省,,,,Y,14,suihua
大兴安岭地区,Daxinganling,prefecture,prefecture,黑龙江省,,,,,0,dxal
南京市,Nanjing,prefecture,prefecture_city,江苏省,Y,Y,省会,Y,252,njd_gulou;njd_jiangning
无锡市,Wuxi,prefecture,prefecture_city,江苏省,,,,Y,108,wuxi
徐州市,Xuzhou,prefecture,prefecture_city,江苏省,,,,,0,
常州市,Changzhou,prefecture,prefecture_city,江苏省,,,,,0,changzhou
苏州市,Suzhou,prefecture,prefecture_city,江苏省,,,,Y,4908,suzhou
南通市,Nantong,prefecture,prefecture_city,江苏省,,,,,0,nantong
连云港市,Lianyungang,prefecture,prefecture_city,江苏省,,,,,0,lyg
淮安市,Huai'an,prefecture,prefecture_city,江苏省,,,,,0,huaian
盐城市,Yancheng,prefecture,prefecture_city,江苏省,,,,Y,45,yancheng
扬州市,Yangzhou,prefecture,prefecture_city,江苏省,,,,,0,
镇江市,Zhenjiang,prefecture,prefecture_city,江苏省,,,,,0,
泰州市,Taizhou,prefecture,prefecture_city,江苏省,,,,Y,35,taizhou_js
宿迁市,Suqian,prefecture,prefecture_city,江苏省,,,,,0,
杭州市,Hangzhou,prefecture,prefecture_city,浙江省,Y,Y,省会,Y,49,hangzhou
宁波市,Ningbo,prefecture,prefecture_city,浙江省,,Y,计划单列市,,0,
温州市,Wenzhou,prefecture,prefecture_city,浙江省,,,,,0,
嘉兴市,Jiaxing,prefecture,prefecture_city,浙江省,,,,,0,
湖州市,Huzhou,prefecture,prefecture_city,浙江省,,,,,0,
绍兴市,Shaoxing,prefecture,prefecture_city,浙江省,,,,,0,
金华市,Jinhua,prefecture,prefecture_city,浙江省,,,,,0,
衢州市,Quzhou,prefecture,prefecture_city,浙江省,,,,,0,
舟山市,Zhoushan,prefecture,prefecture_city,浙江省,,,,,0,
台州市,Taizhou,prefecture,prefecture_city,浙江省,,,,,0,
丽水市,Lishui,prefecture,prefecture_city,浙江省,,,,,0,
合肥市,Hefei,prefecture,prefecture_city,安徽省,Y,,省会,,0,
芜湖市,Wuhu,prefecture,prefecture_city,安徽省,,,,Y,113,wuhu
蚌埠市,Bengbu,prefecture,prefecture_city,安徽省,,,,,0,
淮南市,Huainan,prefecture,prefecture_city,安徽省,,,,Y,28,huainan
马鞍山市,Ma'anshan,prefecture,prefecture_city,安徽省,,,,,0,
淮北市,Huaibei,prefecture,prefecture_city,安徽省,,,,Y,28,huaibei
铜陵市,Tongling,prefecture,prefecture_city,安徽省,,,,,0,tl
安庆市,Anqing,prefecture,prefecture_city,安徽省,,,,,0,
黄山市,Huangshan,prefecture,prefecture_city,安徽省,,,,,0,
滁州市,Chuzhou,prefecture,prefecture_city,安徽省,,,,,0,
阜阳市,Fuyang,prefecture,prefecture_city,安徽省,,,,,0,fuyang
宿州市,Suzhou,prefecture,prefecture_city,安徽省,,,,Y,5038,ahsz;suzhou;suzhou_ah
六安市,Lu'an,prefecture,prefecture_city,安徽省,,,,Y,13,luan
亳州市,Bozhou,prefecture,prefecture_city,安徽省,,,,,0,bozhou
池州市,Chizhou,prefecture,prefecture_city,安徽省,,,,,0,
宣城市,Xuancheng,prefecture,prefecture_city,安徽省,,,,,0,xuancheng
福州市,Fuzhou,prefecture,prefecture_city,福建省,Y,,省会,Y,72,fuzhou_fj
厦门市,Xiamen,prefecture,prefecture_city,福建省,,Y,计划单列市,,0,
莆田市,Putian,prefecture,prefecture_city,福建省,,,,,0,
三明市,Sanming,prefecture,prefecture_city,福建省,,,,Y,50,sm
泉州市,Quanzhou,prefecture,prefecture_city,福建省,,,,,0,quanzhou
漳州市,Zhangzhou,prefecture,prefecture_city,福建省,,,,,0,
南平市,Nanping,prefecture,prefecture_city,福建省,,,,,0,
龙岩市,Longyan,prefecture,prefecture_city,福建省,,,,Y,37,longyan
宁德市,Ningde,prefecture,prefecture_city,福建省,,,,,0,
南昌市,Nanchang,prefecture,prefecture_city,江西省,Y,,省会,,0,
景德镇市,Jingdezhen,prefecture,prefecture_city,江西省,,,,,0,jdz
萍乡市,Pingxiang,prefecture,prefecture_city,江西省,,,,,0,
九江市,Jiujiang,prefecture,prefecture_city,江西省,,,,,0,
新余市,Xinyu,prefecture,prefecture_city,江西省,,,,,0,
鹰潭市,Yingtan,prefecture,prefecture_city,江西省,,,,,0,
赣州市,Ganzhou,prefecture,prefecture_city,江西省,,,,Y,71,ganzhou
吉安市,Ji'an,prefecture,prefecture_city,江西省,,,,,0,
宜春市,Yichun,prefecture,prefecture_city,江西省,,,,,0,
抚州市,Fuzhou,prefecture,prefecture_city,江西省,,,,,0,
上饶市,Shangrao,prefecture,prefecture_city,江西省,,,,,0,
济南市,Jinan,prefecture,prefecture_city,山东省,Y,Y,省会,Y,13,jinan
青岛市,Qingdao,prefecture,prefecture_city,山东省,,Y,计划单列市,Y,440,qingdao
淄博市,Zibo,prefecture,prefecture_city,山东省,,,,Y,37,zibo
枣庄市,Zaozhuang,prefecture,prefecture_city,山东省,,,,,0,
东营市,Dongying,prefecture,prefecture_city,山东省,,,,,0,
烟台市,Yantai,prefecture,prefecture_city,山东省,,,,Y,65,yantai
潍坊市,Weifang,prefecture,prefecture_city,山东省,,,,,0,
济宁市,Jining,prefecture,prefecture_city,山东省,,,,Y,49,jining
泰安市,Tai'an,prefecture,prefecture_city,山东省,,,,Y,69,taian
威海市,Weihai,prefecture,prefecture_city,山东省,,,,Y,9,weihai
日照市,Rizhao,prefecture,prefecture_city,山东省,,,,,0,
临沂市,Linyi,prefecture,prefecture_city,山东省,,,,,0,linyi
德州市,Dezhou,prefecture,prefecture_city,山东省,,,,,0,
聊城市,Liaocheng,prefecture,prefecture_city,山东省,,,,,0,liaocheng
滨州市,Binzhou,prefecture,prefecture_city,山东省,,,,,0,
菏泽市,Heze,prefecture,prefecture_city,山东省,,,,,0,heze
莱芜市,Laiwu,prefecture,prefecture_city,山东省,,,"abolished 2019, merged into 济南; kept from source-map",Y,51,laiwu
郑州市,Zhengzhou,prefecture,prefecture_city,河南省,Y,,省会,,0,zhengzhou
开封市,Kaifeng,prefecture,prefecture_city,河南省,,,,,0,
洛阳市,Luoyang,prefecture,prefecture_city,河南省,,,,,0,
平顶山市,Pingdingshan,prefecture,prefecture_city,河南省,,,,,0,pds
安阳市,Anyang,prefecture,prefecture_city,河南省,,,,,0,
鹤壁市,Hebi,prefecture,prefecture_city,河南省,,,,,0,
新乡市,Xinxiang,prefecture,prefecture_city,河南省,,,,Y,24,xinxiang
焦作市,Jiaozuo,prefecture,prefecture_city,河南省,,,,,0,
濮阳市,Puyang,prefecture,prefecture_city,河南省,,,,,0,
许昌市,Xuchang,prefecture,prefecture_city,河南省,,,,Y,1,xuchang
漯河市,Luohe,prefecture,prefecture_city,河南省,,,,,0,
三门峡市,Sanmenxia,prefecture,prefecture_city,河南省,,,,,0,smx
南阳市,Nanyang,prefecture,prefecture_city,河南省,,,,,0,
商丘市,Shangqiu,prefecture,prefecture_city,河南省,,,,,0,
信阳市,Xinyang,prefecture,prefecture_city,河南省,,,,,0,
周口市,Zhoukou,prefecture,prefecture_city,河南省,,,,,0,zhoukou
驻马店市,Zhumadian,prefecture,prefecture_city,河南省,,,,,0,
武汉市,Wuhan,prefecture,prefecture_city,湖北省,Y,Y,省会,Y,1252,whd_donghu;whd_hongshan;whd_jiangan;whd_jianghan;whd_qiaokou;whd_wuchang;wuhan
黄石市,Huangshi,prefecture,prefecture_city,湖北省,,,,Y,30,huangshi
十堰市,Shiyan,prefecture,prefecture_city,湖北省,,,,,0,
宜昌市,Yichang,prefecture,prefecture_city,湖北省,,,,,0,yichang
襄阳市,Xiangyang,prefecture,prefecture_city,湖北省,,,,,0,
鄂州市,Ezhou,prefecture,prefecture_city,湖北省,,,,,0,
荆门市,Jingmen,prefecture,prefecture_city,湖北省,,,,,0,
孝感市,Xiaogan,prefecture,prefecture_city,湖北省,,,,,0,
荆州市,Jingzhou,prefecture,prefecture_city,湖北省,,,,,0,
黄冈市,Huanggang,prefecture,prefecture_city,湖北省,,,,,0,
咸宁市,Xianning,prefecture,prefecture_city,湖北省,,,,,0,
随州市,Suizhou,prefecture,prefecture_city,湖北省,,,,,0,suizhou
恩施土家族苗族自治州,Enshi,prefecture,autonomous_prefecture,湖北省,,,,,0,
长沙市,Changsha,prefecture,prefecture_city,湖南省,Y,,省会,,0,
株洲市,Zhuzhou,prefecture,prefecture_city,湖南省,,,,,0,
湘潭市,Xiangtan,prefecture,prefecture_city,湖南省,,,,,0,
衡阳市,Hengyang,prefecture,prefecture_city,湖南省,,,,,0,
邵阳市,Shaoyang,prefecture,prefecture_city,湖南省,,,,,0,
岳阳市,Yueyang,prefecture,prefecture_city,湖南省,,,,Y,12,yueyang
常德市,Changde,prefecture,prefecture_city,湖南省,,,,Y,29,changde
张家界市,Zhangjiajie,prefecture,prefecture_city,湖南省,,,,,0,
益阳市,Yiyang,prefecture,prefecture_city,湖南省,,,,,0,
