name_cn,name_en,level,type,parent_province_cn,is_provincial_capital,is_sub_provincial,notes,covered,our_docs,our_site_keys
玉树藏族自治州,Yushu,prefecture,autonomous_prefecture,青海省,,,,Y,22,yushu
海西蒙古族藏族自治州,Haixi,prefecture,autonomous_prefecture,青海省,,,,,0,
呼和浩特市,Hohhot,prefecture,prefecture_city,内蒙古自治区,Y,,省会,,0,
包头市,Baotou,prefecture,prefecture_city,内蒙古自治区,,,,,0,
乌海市,Wuhai,prefecture,prefecture_city,内蒙古自治区,,,,,0,wuhai
赤峰市,Chifeng,prefecture,prefecture_city,内蒙古自治区,,,,,0,
通辽市,Tongliao,prefecture,prefecture_city,内蒙古自治区,,,,Y,41,tongliao
鄂尔多斯市,Ordos,prefecture,prefecture_city,内蒙古自治区,,,,Y,53,ordos
呼伦贝尔市,Hulunbuir,prefecture,prefecture_city,内蒙古自治区,,,,,0,
巴彦淖尔市,Bayannur,prefecture,prefecture_city,内蒙古自治区,,,,Y,35,bynr
乌兰察布市,Ulanqab,prefecture,prefecture_city,内蒙古自治区,,,,,0,
兴安盟,Xingan,prefecture,league,内蒙古自治区,,,,,0,dxal
锡林郭勒盟,Xilingol,prefecture,league,内蒙古自治区,,,,Y,94,xlgl
阿拉善盟,Alxa,prefecture,league,内蒙古自治区,,,,,0,
南宁市,Nanning,prefecture,prefecture_city,广西壮族自治区,Y,,省会,,0,
柳州市,Liuzhou,prefecture,prefecture_city,广西壮族自治区,,,,Y,121,liuzhou
桂林市,Guilin,prefecture,prefecture_city,广西壮族自治区,,,,,0,
梧州市,Wuzhou,prefecture,prefecture_city,广西壮族自治区,,,,,0,
北海市,Beihai,prefecture,prefecture_city,广西壮族自治区,,,,,0,
防城港市,Fangchenggang,prefecture,prefecture_city,广西壮族自治区,,,,,0,
钦州市,Qinzhou,prefecture,prefecture_city,广西壮族自治区,,,,,0,
贵港市,Guigang,prefecture,prefecture_city,广西壮族自治区,,,,,0,
玉林市,Yulin,prefecture,prefecture_city,广西壮族自治区,,,,,0,
百色市,Baise,prefecture,prefecture_city,广西壮族自治区,,,,,0,
贺州市,Hezhou,prefecture,prefecture_city,广西壮族自治区,,,,,0,
河池市,Hechi,prefecture,prefecture_city,广西壮族自治区,,,,,0,
来宾市,Laibin,prefecture,prefecture_city,广西壮族自治区,,,,,0,
崇左市,Chongzuo,prefecture,prefecture_city,广西壮族自治区,,,,,0,
拉萨市,Lhasa,prefecture,prefecture_city,西藏自治区,Y,,省会,Y,23,lasa
日喀则市,Shigatse,prefecture,prefecture_city,西藏自治区,,,,,0,
昌都市,Qamdo,prefecture,prefecture_city,西藏自治区,,,,Y,24,changdu
林芝市,Nyingchi,prefecture,prefecture_city,西藏自治区,,,,Y,40,linzhi
山南市,Shannan,prefecture,prefecture_city,西藏自治区,,,,Y,96,shannan
那曲市,Nagqu,prefecture,prefecture_city,西藏自治区,,,source-map: 那曲地区; upgraded to city 2018,,0,naqu
阿里地区,Ngari,prefecture,prefecture,西藏自治区,,,,,0,al
银川市,Yinchuan,prefecture,prefecture_city,宁夏回族自治区,Y,,省会,Y,49,yinchuan
石嘴山市,Shizuishan,prefecture,prefecture_city,宁夏回族自治区,,,,Y,75,shizuishan
吴忠市,Wuzhong,prefecture,prefecture_city,宁夏回族自治区,,,,Y,19,wuzhong
固原市,Guyuan,prefecture,prefecture_city,宁夏回族自治区,,,,,0,
中卫市,Zhongwei,prefecture,prefecture_city,宁夏回族自治区,,,,,0,
乌鲁木齐市,Urumqi,prefecture,prefecture_city,新疆维吾尔自治区,Y,,省会,Y,44,wlmq
克拉玛依市,Karamay,prefecture,prefecture_city,新疆维吾尔自治区,,,,Y,55,klmy
吐鲁番市,Turpan,prefecture,prefecture_city,新疆维吾尔自治区,,,,Y,44,tlf
哈密市,Hami,prefecture,prefecture_city,新疆维吾尔自治区,,,,Y,44,hami
昌吉回族自治州,Changji,prefecture,autonomous_prefecture,新疆维吾尔自治区,,,,Y,37,cj
博尔塔拉蒙古自治州,Bortala,prefecture,autonomous_prefecture,新疆维吾尔自治区,,,,Y,100,xjboz
巴音郭楞蒙古自治州,Bayingolin,prefecture,autonomous_prefecture,新疆维吾尔自治区,,,,,0,xjbz
克孜勒苏柯尔克孜自治州,Kizilsu,prefecture,autonomous_prefecture,新疆维吾尔自治区,,,,Y,67,xjkz
伊犁哈萨克自治州,Ili,prefecture,autonomous_prefecture,新疆维吾尔自治区,,,,Y,85,xjyl
阿克苏地区,Aksu,prefecture,prefecture,新疆维吾尔自治区,,,,,0,
喀什地区,Kashgar,prefecture,prefecture,新疆维吾尔自治区,,,,Y,48,kashi
和田地区,Hotan,prefecture,prefecture,新疆维吾尔自治区,,,,Y,18,xjht
塔城地区,Tacheng,prefecture,prefecture,新疆维吾尔自治区,,,,Y,76,xjtc
阿勒泰地区,Altay,prefecture,prefecture,新疆维吾尔自治区,,,,,0,
阿拉尔市,Alar,prefecture,special_county_unit,新疆维吾尔自治区,,,新疆兵团(XPCC),Y,20,ale
北屯市,Beitun,prefecture,special_county_unit,新疆维吾尔自治区,,,新疆兵团(XPCC),Y,24,bts
胡杨河市,Huyanghe,prefecture,special_county_unit,新疆维吾尔自治区,,,新疆兵团(XPCC),Y,66,nqs
石河子市,Shihezi,prefecture,special_county_unit,新疆维吾尔自治区,,,新疆兵团(XPCC),,0,
图木舒克市,Tumxuk,prefecture,special_county_unit,新疆维吾尔自治区,,,新疆兵团(XPCC),,0,
五家渠市,Wujiaqu,prefecture,special_county_unit,新疆维吾尔自治区,,,新疆兵团(XPCC),Y,25,wjq
白杨市,Baiyang,prefecture,special_county_unit,新疆维吾尔自治区,,,新疆兵团(XPCC),,0,
白沙黎族自治县,Baisha,prefecture,special_county_unit,海南省,,,县级,,0,
保亭黎族苗族自治县,Baoting,prefecture,special_county_unit,海南省,,,县级,,0,
昌江黎族自治县,Changjiang,prefecture,special_county_unit,海南省,,,县级,,0,
澄迈县,Chengmai,prefecture,special_county_unit,海南省,,,县级,,0,
定安县,Dingan,prefecture,special_county_unit,海南省,,,县级,,0,
东方市,Dongfang,prefecture,special_county_unit,海南省,,,县级市,,0,
乐东黎族自治县,Ledong,prefecture,special_county_unit,海南省,,,县级,,0,
临高县,Lingao,prefecture,special_county_unit,海南省,,,县级,,0,
陵水黎族自治县,Lingshui,prefecture,special_county_unit,海南省,,,县级,,0,
琼海市,Qionghai,prefecture,special_county_unit,海南省,,,县级市,,0,
琼中黎族苗族自治县,Qiongzhong,prefecture,special_county_unit,海南省,,,县级,,0,
屯昌县,Tunchang,prefecture,special_county_unit,海南省,,,县级,,0,
万宁市,Wanning,prefecture,special_county_unit,海南省,,,县级市,,0,
文昌市,Wenchang,prefecture,special_county_unit,海南省,,,县级市,,0,
五指山市,Wuzhishan,prefecture,special_county_unit,海南省,,,县级市,,0,
潜江市,Qianjiang,prefecture,special_county_unit,湖北省,,,省直辖县级,Y,121,hbqj;qianjiang
神农架林区,Shennongjia,prefecture,special_county_unit,湖北省,,,省直辖林区,,0,
天门市,Tianmen,prefecture,special_county_unit,湖北省,,,省直辖县级,Y,18,tianmen
仙桃市,Xiantao,prefecture,special_county_unit,湖北省,,,省直辖县级,,0,
济源市,Jiyuan,prefecture,special_county_unit,河南省,,,省直辖县级,,0,jiyuan
