site_key,section,nav_links,arts_found,held_pct,raw_status,bucket,sample_url,decision
nx_fzggw,/zwgk/,10,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
nx_fzggw,/tzgg/,8,20,0,missing_have_scraper,crawl_now,https://fzggw.nx.gov.cn/tzgg/202609/t20260909_5339098.html,crawl_now
nx_fzggw,/ggbf/,3,0,0,needs_new_scraper,build_scraper,,build_scraper
xz_nynct,/zwgk/,13,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
xz_nynct,/ggbf/,7,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
xz_nynct,/jggk/,5,0,0,empty_or_blocked,sweep_unreliable,,sweep_unreliable
cq_ws,-,0,0,0,HOMEPAGE_UNREACHABLE,sweep_unreliable,<urlopen error timed out>,sweep_unreliable
nx_zrzyt,/ggbf/,2,1,0,missing_have_scraper,crawl_now,https://zrzyt.nx.gov.cn/ggbf/202108/t20210816_2975839.html,crawl_now
cqd_yuzhong,-,0,0,0,HOMEPAGE_UNREACHABLE,sweep_unreliable,<urlopen error timed out>,sweep_unreliable
bjb_wjw,/wjwh/,28,16,0,missing_have_scraper,crawl_now,https://wjw.beijing.gov.cn/wjwh/szzl/202601/t20260127_4469663.html,crawl_now
sm,/zcjd/,7,21,5,missing_have_scraper,crawl_now,https://www.sm.gov.cn/zw/gsgg/qt_5599/202607/t20260727_2263309.htm,crawl_now
laiwu,/gongkai/,8,0,0,needs_new_scraper,build_scraper,,build_scraper
natcm,/xinxifabu/,34,18,0,missing_have_scraper,crawl_now,http://www.natcm.gov.cn/xinxifabu/shizhengyaowen/2026-09-14/38750.html,crawl_now
natcm,/zhengcewenjian/,2,18,33,missing_have_scraper,crawl_now,http://www.natcm.gov.cn/yizhengsi/zhengcewenjian/2026-05-15/38069.html,crawl_now
whd_qiaokou,/qkgk/,10,22,14,missing_have_scraper,crawl_now,https://www.qiaokou.gov.cn/qkgk/qkjj/201810/t20181018_146886.shtml,crawl_now
whd_qiaokou,/sjgk/,5,3,100,already_crawled,have,https://www.qiaokou.gov.cn/qkgk/qkjj/201405/t20140530_146885.shtml,have
bjd_fangshan,/zfxxgk/,2,2,100,already_crawled,have,https://www.bjfsh.gov.cn/gywm/202002/t20200227_39992472.shtml,have
