rank,normalized_ref,demand,kind,target_level,citation_types,inferred_issuer,inferred_institution,inferred_site,coverage_status
60,粤司规〔2019〕3号,61,formal,unknown,formal:61,粤司规,Guangdong (广东),gd,have
61,人防工程监理行政许可资质管理办法,60,title,unknown,named:60+llm:9,国人防,issuer:国人防,,unknown
62,国人防〔2013〕227号,60,formal,unknown,formal:60,国人防,issuer:国人防,,unknown
63,中国共产党党内监督条例,58,title,unknown,named:58+llm:17,,unknown,,unknown
64,深圳市科技计划项目实施过程与验收管理办法（试行）,58,title,municipal,named:58+llm:1,深科技创新规,Shenzhen (深圳),sz,have
65,《机动车登记规定》第四十一条第一项,57,title,unknown,llm:57,,unknown,,unknown
66,党政机关公文处理工作条例,57,title,unknown,named:57,,unknown,,unknown
67,深圳市市级财政专项资金管理办法,57,title,municipal,named:58+llm:8,深财工贸,Shenzhen (深圳),sz,have
68,《机动车登记规定》第三十七条、第四十一条第一项,56,title,unknown,llm:56,,unknown,,unknown
69,中共中央国务院关于深化医药卫生体制改革的意见,56,title,central,named:56+llm:4,中发,CPC Central Committee (中共中央),,party
70,中共中央国务院关于全面深化新时代教师队伍建设改革的意见,55,title,central,named:55+llm:14,,CPC Central Committee (中共中央),,party
71,国家中长期教育改革和发展规划纲要（2010-2020年）,55,title,central,named:54+llm:4,,unknown,,unknown
72,广东省法治政府建设实施纲要,55,title,provincial,named:55+llm:14,,Guangdong (广东),gd,have
73,中华人民共和国进出口关税条例,54,title,unknown,named:54+llm:16,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
74,广东省司法厅关于律师事务所年度检查考核的实施细则（2019年修订）（粤司规〔2019〕3号）,54,title,provincial,llm:54,粤司规,Guangdong (广东),gd,have
75,律师事务所年度检查考核办法（司法部令第121号）,54,title,unknown,llm:54,,unknown,,unknown
76,无照经营查处取缔办法,54,title,unknown,named:55+llm:4,,unknown,,unknown
77,国家教育考试违规处理办法,53,title,central,named:53+llm:7,,unknown,,unknown
78,广东省国土资源厅关于印发广东省征地补偿保护标准（2016年修订调整）的通知,53,title,provincial,named:53,,Guangdong (广东),gd,have
79,广东省律师执业年度考核管理办法（试行）（粤律协﹝2020﹞41号）,53,title,provincial,llm:53,,Guangdong (广东),gd,have
80,新型冠状病毒肺炎疫情防控方案（第九版）,53,title,unknown,named:53,,unknown,,unknown
81,深科技创新规〔2022〕5号,53,formal,unknown,formal:53,深科技创新规,Shenzhen (深圳),sz,have
82,道路交通安全违法行为处理程序规定,53,title,unknown,llm:53,,Ministry of Public Security (公安部),,blocked
83,广州市突发事件总体应急预案,52,title,unknown,llm:52,,Guangzhou (广州),gz,have
84,森林法实施条例,52,title,unknown,named:48+llm:5,,National law/admin regulation (全国人大/国务院 · npc),npc,law-db
85,中国共产党机构编制工作条例,51,title,unknown,named:51+llm:21,,unknown,,unknown
86,广东省征地补偿保护标准（粤国土资利用发〔2011〕21号）,50,title,provincial,llm:50,粤国土资利用发,Guangdong (广东),gd,have
87,深圳市公共租赁住房轮候与配租暂行办法,50,title,municipal,named:49+llm:15,,Shenzhen (深圳),sz,have
88,国家税务总局关于实施＜中华人民共和国印花税法＞等有关事项的公告,49,title,central,named:49,,State Taxation Administration (税务总局),,have
89,珠江三角洲地区改革发展规划纲要（2008－2020年,49,title,unknown,named:50+llm:4,,unknown,,unknown
90,福建省职称评审管理暂行办法,49,title,provincial,named:47+llm:8,闽人社发,Fujian (福建),fujian,have
91,国民体质测定标准,48,title,unknown,named:48,,unknown,,unknown
92,城市消防站建设标准,48,title,unknown,named:48+llm:1,,city:城市,,unknown
93,建设项目使用林地审核审批管理办法,48,title,unknown,named:48+llm:1,,unknown,,unknown
94,深化党和国家机构改革方案,48,title,central,named:48+llm:5,,unknown,,unknown
95,关于大鹏新区部分人才奖励补贴业务安排的公告,47,title,district,named:47+llm:7,,unknown,,unknown
96,中共中央国务院关于促进中医药传承创新发展的意见,46,title,central,named:49+llm:6,,CPC Central Committee (中共中央),,party
97,深圳市基本生态控制线管理规定,46,title,municipal,named:45+llm:1,,Shenzhen (深圳),sz,have
98,转发省人力资源和社会保障厅关于进一步做好我省被征地农民养老保障工作意见的通知,46,title,provincial,named:46,,province:转发省,,unknown
99,中发〔2020〕5号,45,formal,central,formal:45,中发,CPC Central Committee (中共中央),,party
100,国务院办公厅政府信息与政务公开办公室关于印发<中华人民共和国政府信息公开工作年度报告格式>的通知,45,title,central,llm:45,国办公开办函,State Council General Office (国务院办公厅),,have
101,深圳市教育局机关自行采购管理办法,45,title,municipal,named:45+llm:3,深教,Shenzhen (深圳),sz,have
102,生活饮用水水质标准,45,title,unknown,named:45+llm:34,,unknown,,unknown
103,中共中央国务院关于开展质量提升行动的指导意见,44,title,central,named:44+llm:7,,CPC Central Committee (中共中央),,party
104,国家税务总局公告2011年第2号,44,title,central,llm:44,,State Taxation Administration (税务总局),,have
105,机关团体企业事业单位消防安全管理规定,44,title,unknown,named:44+llm:3,,unknown,,unknown
106,财政部 税务总局 海关总署公告2019年第39号,44,title,unknown,llm:44,,Ministry of Finance (财政部),,have
107,全国工业用地出让最低价标准,43,title,central,named:43+llm:2,,unknown,,unknown
108,广东省征地补偿保护标准（2016年修订调整）,43,title,provincial,named:42+llm:1,,Guangdong (广东),gd,have
109,关于深化统计管理体制改革提高统计数据真实性的意见,42,title,unknown,named:41+llm:7,,unknown,,unknown
110,医疗质量管理办法,42,title,unknown,named:43+llm:5,,unknown,,unknown
111,国家税务总局关于发布的公告,42,title,central,named:42+llm:1,,State Taxation Administration (税务总局),,have
112,广东省实施&lt;中华人民共和国土地管理法&gt;办法,42,title,provincial,named:42,,Guangdong (广东),gd,have
113,深圳市创新型产业用房管理办法（修订版）,42,title,municipal,llm:42,深府办规,Shenzhen (深圳),sz,have
114,深圳市市级机关培训费管理办法,42,title,municipal,named:42+llm:12,,Shenzhen (深圳),sz,have
115,珠府办函〔2015〕2号,42,formal,unknown,formal:42,珠府办函,Zhuhai (珠海),zhuhai,have
116,珠海市人民政府办公室关于做好重要政策信息转载工作的通知,42,title,unknown,named:42,,Zhuhai (珠海),zhuhai,have
117,道路交通安全违法行为处理程序规定（公安部令第157号）,42,title,unknown,llm:42,,Ministry of Public Security (公安部),,blocked
118,广东省公路条例,41,title,provincial,llm:41,,Guangdong (广东),gd,have
119,深圳市拆除重建类城市更新单元计划管理规定,41,title,municipal,named:41+llm:16,深规划资源规,Shenzhen (深圳),sz,have
120,生产安全事故应急预案管理办法,41,title,unknown,named:42+llm:4,,unknown,,unknown
121,穗字〔2009〕11号,41,formal,unknown,formal:41,穗字,Guangzhou (广州),gz,have
122,道路交通安全违法行为记分管理办法,41,title,unknown,named:39+llm:12,,unknown,,unknown
